n,b,total_time,transmit_time,init_time
80000,16,0.032812,0.032759,0.000053
80000,16,0.045383,0.045356,0.000027
80000,16,0.047281,0.047251,0.000030
80000,16,0.035438,0.035373,0.000065
80000,16,0.054009,0.053931,0.000078
80000,16,0.045304,0.045261,0.000043
80000,16,0.052540,0.052500,0.000040
80000,16,0.048522,0.048485,0.000037
80000,16,0.050879,0.050841,0.000038
80000,16,0.060774,0.059911,0.000863
80000,16,0.061319,0.061264,0.000055
80000,16,0.048765,0.048724,0.000041
80000,16,0.045346,0.045303,0.000043
80000,16,0.050212,0.050174,0.000038
80000,16,0.048153,0.048123,0.000030
80000,16,0.047738,0.047712,0.000026
80000,16,0.067132,0.067100,0.000032
80000,16,0.046276,0.046221,0.000055
80000,16,0.055857,0.055816,0.000041
80000,16,0.037722,0.037683,0.000039
80000,16,0.050567,0.050522,0.000045
80000,16,0.045801,0.045757,0.000044
80000,16,0.047979,0.047942,0.000037
80000,16,0.044933,0.044900,0.000033
80000,16,0.050195,0.050170,0.000025
80000,16,0.045011,0.044974,0.000037
80000,16,0.049949,0.049913,0.000036
80000,16,0.050950,0.050901,0.000049
80000,16,0.051719,0.051687,0.000032
80000,16,0.045940,0.045894,0.000046
80000,16,0.050371,0.050296,0.000075
80000,16,0.076787,0.076722,0.000065
80000,16,0.041119,0.041070,0.000049
80000,16,0.041185,0.041139,0.000046
80000,16,0.048381,0.048337,0.000044
80000,16,0.050434,0.050402,0.000032
80000,16,0.043966,0.043912,0.000054
80000,16,0.050797,0.050747,0.000050
80000,16,0.034477,0.034436,0.000041
80000,16,0.048829,0.048786,0.000043
80000,16,0.045302,0.045241,0.000061
80000,16,0.053314,0.053278,0.000036
80000,16,0.045572,0.045533,0.000039
80000,16,0.035756,0.035712,0.000044
80000,16,0.053971,0.053922,0.000049
80000,16,0.076639,0.076597,0.000042
80000,16,0.046427,0.046382,0.000045
80000,16,0.047890,0.047853,0.000037
80000,16,0.045920,0.045877,0.000043
80000,16,0.046754,0.046682,0.000072
80000,16,0.046699,0.046659,0.000040
80000,16,0.050335,0.050284,0.000051
80000,16,0.050479,0.050439,0.000040
80000,16,0.056287,0.056223,0.000064
80000,16,0.064882,0.064839,0.000043
80000,16,0.076807,0.076764,0.000043
80000,16,0.044243,0.044168,0.000075
80000,16,0.045698,0.045614,0.000084
80000,16,0.044145,0.044096,0.000049
160000,16,0.080862,0.080820,0.000042
160000,16,0.081681,0.081638,0.000043
160000,16,0.072617,0.072577,0.000040
160000,16,0.097147,0.097106,0.000041
160000,16,0.092648,0.092587,0.000061
160000,16,0.104077,0.104032,0.000045
160000,16,0.100251,0.100209,0.000042
160000,16,0.092336,0.092286,0.000050
160000,16,0.087829,0.087781,0.000048
160000,16,0.104498,0.104450,0.000048
160000,16,0.086333,0.086285,0.000048
160000,16,0.073704,0.073647,0.000057
160000,16,0.078115,0.078064,0.000051
160000,16,0.081368,0.081299,0.000069
160000,16,0.086759,0.086691,0.000068
160000,16,0.117952,0.117903,0.000049
160000,16,0.109137,0.108268,0.000869
160000,16,0.093076,0.093021,0.000055
160000,16,0.106894,0.106834,0.000060
160000,16,0.102749,0.102676,0.000073
160000,16,0.096113,0.096043,0.000070
160000,16,0.090267,0.090199,0.000068
160000,16,0.086641,0.086590,0.000051
160000,16,0.102663,0.102592,0.000071
160000,16,0.102265,0.102137,0.000128
160000,16,0.120322,0.119358,0.000964
160000,16,0.097499,0.097449,0.000050
160000,16,0.135948,0.135893,0.000055
160000,16,0.101727,0.101673,0.000054
160000,16,0.100557,0.100504,0.000053
160000,16,0.104577,0.104512,0.000065
160000,16,0.105276,0.105203,0.000073
160000,16,0.108963,0.108892,0.000071
160000,16,0.113837,0.113769,0.000068
160000,16,0.099384,0.099303,0.000081
160000,16,0.106097,0.106019,0.000078
160000,16,0.101386,0.101317,0.000069
160000,16,0.086577,0.086526,0.000051
160000,16,0.104345,0.104297,0.000048
