n,b,total_time,transmit_time,init_time
160000,16,0.097298,0.097241,0.000057
160000,16,0.120231,0.120181,0.000050
160000,16,0.098344,0.098290,0.000054
160000,16,0.095566,0.095500,0.000066
160000,16,0.122765,0.122708,0.000057
160000,16,0.120864,0.120808,0.000056
160000,16,0.127361,0.127288,0.000073
160000,16,0.102835,0.102766,0.000069
160000,16,0.104549,0.104471,0.000078
160000,16,0.096962,0.096897,0.000065
160000,16,0.106054,0.106000,0.000054
160000,16,0.094293,0.094241,0.000052
160000,16,0.094623,0.094567,0.000056
160000,16,0.116534,0.116476,0.000058
160000,16,0.098129,0.098057,0.000072
160000,16,0.093936,0.093865,0.000071
160000,16,0.107989,0.107929,0.000060
160000,16,0.107808,0.107741,0.000067
160000,16,0.100636,0.100569,0.000067
160000,16,0.126573,0.126509,0.000064
160000,16,0.095330,0.095279,0.000051
160000,16,0.094010,0.093947,0.000063
160000,16,0.120042,0.119984,0.000058
160000,16,0.094245,0.094190,0.000055
160000,16,0.098370,0.098325,0.000045
160000,16,0.097649,0.097574,0.000075
160000,16,0.097576,0.097502,0.000074
160000,16,0.098367,0.098300,0.000067
160000,16,0.101959,0.101888,0.000071
160000,16,0.095793,0.095738,0.000055
160000,16,0.094172,0.094106,0.000066
160000,16,0.094044,0.093978,0.000066
160000,16,0.100707,0.100647,0.000060
160000,16,0.120353,0.120297,0.000056
160000,16,0.126485,0.126424,0.000061
160000,16,0.096414,0.096343,0.000071
160000,16,0.094885,0.094815,0.000070
160000,16,0.103539,0.103476,0.000063
160000,16,0.094190,0.094121,0.000069
160000,16,0.098115,0.098053,0.000062
160000,16,0.094249,0.094163,0.000086
160000,16,0.095279,0.095222,0.000057
160000,16,0.095947,0.095888,0.000059
160000,16,0.122690,0.122626,0.000064
160000,16,0.107048,0.106981,0.000067
160000,16,0.098114,0.098045,0.000069
160000,16,0.119427,0.119364,0.000063
160000,16,0.095993,0.095925,0.000068
160000,16,0.124294,0.124236,0.000058
160000,16,0.115821,0.115761,0.000060
160000,16,0.096567,0.096507,0.000060
160000,16,0.116323,0.116264,0.000059
160000,16,0.096535,0.096477,0.000058
160000,16,0.100313,0.100266,0.000047
160000,16,0.097479,0.097408,0.000071
160000,16,0.088218,0.088148,0.000070
160000,16,0.107510,0.107443,0.000067
160000,16,0.096086,0.096014,0.000072
160000,16,0.095766,0.095710,0.000056
160000,16,0.094618,0.094556,0.000062
160000,16,0.093835,0.093779,0.000056
160000,16,0.097337,0.097283,0.000054
160000,16,0.093943,0.093896,0.000047
160000,16,0.123609,0.123551,0.000058
160000,16,0.107763,0.107701,0.000062
160000,16,0.096010,0.095956,0.000054
160000,16,0.124264,0.124204,0.000060
160000,16,0.096396,0.096319,0.000077
320000,16,0.194433,0.194388,0.000045
320000,16,0.207379,0.207315,0.000064
320000,16,0.196054,0.195985,0.000069
320000,16,0.217323,0.217253,0.000070
320000,16,0.201985,0.201920,0.000065
320000,16,0.220765,0.220692,0.000073
320000,16,0.196139,0.196073,0.000066
320000,16,0.219939,0.219879,0.000060
320000,16,0.245279,0.245214,0.000065
320000,16,0.193562,0.193491,0.000071
320000,16,0.192480,0.192412,0.000068
320000,16,0.214272,0.214214,0.000058
320000,16,0.207182,0.207105,0.000077
320000,16,0.222881,0.222785,0.000096
320000,16,0.199680,0.199601,0.000079
320000,16,0.199124,0.199072,0.000052
320000,16,0.207588,0.207533,0.000055
320000,16,0.198992,0.198904,0.000088
320000,16,0.207294,0.207220,0.000074
320000,16,0.202422,0.202349,0.000073
320000,16,0.192042,0.191978,0.000064
320000,16,0.201476,0.201415,0.000061
320000,16,0.233353,0.233281,0.000072
320000,16,0.199651,0.199589,0.000062
320000,16,0.232475,0.232408,0.000067
320000,16,0.194833,0.194767,0.000066
320000,16,0.231415,0.231356,0.000059
320000,16,0.222395,0.222326,0.000069
320000,16,0.194877,0.194806,0.000071
320000,16,0.230179,0.230118,0.000061
320000,16,0.229985,0.229908,0.000077
320000,16,0.221579,0.221513,0.000066
320000,16,0.215053,0.214920,0.000133
320000,16,0.205275,0.205205,0.000070
320000,16,0.190511,0.190438,0.000073
320000,16,0.214716,0.214654,0.000062
320000,16,0.196229,0.196164,0.000065
320000,16,0.212703,0.212633,0.000070
320000,16,0.199808,0.199744,0.000064
320000,16,0.191086,0.191029,0.000057
320000,16,0.194632,0.194571,0.000061
320000,16,0.223562,0.223496,0.000066
320000,16,0.226257,0.226195,0.000062
320000,16,0.194605,0.194532,0.000073
320000,16,0.242038,0.241976,0.000062
320000,16,0.241949,0.241887,0.000062
320000,16,0.214290,0.214222,0.000068
320000,16,0.194370,0.194300,0.000070
320000,16,0.215901,0.215842,0.000059
320000,16,0.192597,0.192539,0.000058
320000,16,0.205777,0.205699,0.000078
320000,16,0.243496,0.243433,0.000063
320000,16,0.193252,0.193185,0.000067
320000,16,0.192678,0.192594,0.000084
320000,16,0.191868,0.191806,0.000062
320000,16,0.232850,0.232762,0.000088
320000,16,0.197986,0.197923,0.000063
320000,16,0.193962,0.193892,0.000070
320000,16,0.194135,0.194071,0.000064
320000,16,0.231869,0.231795,0.000074
320000,16,0.220179,0.220105,0.000074
320000,16,0.210946,0.210872,0.000074
320000,16,0.222688,0.222618,0.000070
320000,16,0.237854,0.237787,0.000067
320000,16,0.238359,0.238295,0.000064
320000,16,0.216325,0.216258,0.000067
320000,16,0.201386,0.201321,0.000065
320000,16,0.196994,0.196923,0.000071
320000,16,0.238370,0.238313,0.000057
320000,16,0.196691,0.196619,0.000072
320000,16,0.197758,0.197688,0.000070
320000,16,0.192325,0.192258,0.000067
320000,16,0.194364,0.194304,0.000060
320000,16,0.198617,0.198553,0.000064
320000,16,0.210049,0.209851,0.000198
320000,16,0.202478,0.202411,0.000067
320000,16,0.200573,0.200504,0.000069
320000,16,0.203732,0.203678,0.000054
320000,16,0.209078,0.209020,0.000058
320000,16,0.203411,0.203342,0.000069
320000,16,0.198310,0.198246,0.000064
320000,16,0.218789,0.218726,0.000063
320000,16,0.212486,0.212417,0.000069
320000,16,0.196312,0.196241,0.000071
320000,16,0.199224,0.199156,0.000068
320000,16,0.214763,0.214691,0.000072
320000,16,0.191574,0.191507,0.000067
320000,16,0.205877,0.205823,0.000054
320000,16,0.197300,0.197229,0.000071
320000,16,0.195243,0.195173,0.000070
320000,16,0.202325,0.202254,0.000071
320000,16,0.236439,0.236368,0.000071
320000,16,0.252529,0.252464,0.000065
320000,16,0.200759,0.200699,0.000060
320000,16,0.230485,0.230421,0.000064
320000,16,0.200834,0.200772,0.000062
320000,16,0.196241,0.196172,0.000069
320000,16,0.199721,0.199651,0.000070
320000,16,0.210802,0.210747,0.000055
320000,16,0.213381,0.213312,0.000069
640000,16,0.400185,0.400117,0.000068
640000,16,0.399174,0.399111,0.000063
640000,16,0.425109,0.425044,0.000065
640000,16,0.400359,0.400293,0.000066
640000,16,0.409045,0.408972,0.000073
640000,16,0.395883,0.395819,0.000064
640000,16,0.459016,0.458956,0.000060
640000,16,0.465184,0.465104,0.000080
640000,16,0.424390,0.424322,0.000068
640000,16,0.440131,0.440037,0.000094
640000,16,0.388909,0.388845,0.000064
640000,16,0.464363,0.464298,0.000065
640000,16,0.394320,0.394253,0.000067
640000,16,0.415480,0.415415,0.000065
640000,16,0.401110,0.401037,0.000073
640000,16,0.400611,0.400550,0.000061
640000,16,0.459266,0.459194,0.000072
640000,16,0.428825,0.428755,0.000070
640000,16,0.472402,0.472338,0.000064
640000,16,0.394843,0.394767,0.000076
640000,16,0.426619,0.426547,0.000072
640000,16,0.423819,0.423753,0.000066
640000,16,0.401048,0.400986,0.000062
640000,16,0.420282,0.420214,0.000068
640000,16,0.425998,0.425927,0.000071
640000,16,0.575798,0.575736,0.000062
640000,16,0.612543,0.612454,0.000089
640000,16,0.619201,0.619115,0.000086
640000,16,0.652022,0.651936,0.000086
640000,16,0.652486,0.652396,0.000090
640000,16,0.635077,0.634984,0.000093
640000,16,0.614456,0.614365,0.000091
640000,16,0.613118,0.612999,0.000119
640000,16,0.697445,0.697347,0.000098
640000,16,0.613083,0.613002,0.000081
640000,16,0.594436,0.594346,0.000090
640000,16,0.641102,0.641014,0.000088
640000,16,0.587668,0.587580,0.000088
640000,16,0.622484,0.622392,0.000092
640000,16,0.692647,0.692559,0.000088
640000,16,0.728340,0.728252,0.000088
640000,16,0.616219,0.616122,0.000097
640000,16,0.617614,0.617520,0.000094
640000,16,0.595165,0.595064,0.000101
640000,16,0.750047,0.749952,0.000095
640000,16,0.642181,0.642098,0.000083
640000,16,0.588091,0.587996,0.000095
640000,16,0.698149,0.698056,0.000093
640000,16,0.596440,0.596349,0.000091
640000,16,0.728012,0.727925,0.000087
640000,16,0.613648,0.613564,0.000084
640000,16,0.589833,0.589739,0.000094
640000,16,0.635196,0.635107,0.000089
640000,16,0.602044,0.601959,0.000085
640000,16,0.584801,0.584709,0.000092
640000,16,0.652940,0.652855,0.000085
640000,16,0.543246,0.543159,0.000087
640000,16,0.416371,0.416298,0.000073
640000,16,0.396604,0.396541,0.000063
640000,16,0.397959,0.397894,0.000065
640000,16,0.383150,0.383080,0.000070
640000,16,0.423621,0.423552,0.000069
640000,16,0.444427,0.444354,0.000073
640000,16,0.472961,0.472885,0.000076
640000,16,0.422918,0.422841,0.000077
640000,16,0.427971,0.427899,0.000072
640000,16,0.456417,0.456347,0.000070
640000,16,0.387413,0.387348,0.000065
640000,16,0.394409,0.394343,0.000066
640000,16,0.440351,0.440278,0.000073
640000,16,0.473476,0.473410,0.000066
640000,16,0.396075,0.396007,0.000068
640000,16,0.394517,0.394450,0.000067
640000,16,0.431718,0.431656,0.000062
640000,16,0.400130,0.400056,0.000074
640000,16,0.390220,0.390151,0.000069
640000,16,0.442966,0.442893,0.000073
640000,16,0.396467,0.396405,0.000062
640000,16,0.395443,0.395378,0.000065
640000,16,0.409680,0.409613,0.000067
640000,16,0.423212,0.423144,0.000068
640000,16,0.455264,0.455198,0.000066
640000,16,0.430392,0.430323,0.000069
640000,16,0.475074,0.475006,0.000068
640000,16,0.400603,0.400510,0.000093
640000,16,0.431390,0.431315,0.000075
640000,16,0.388369,0.388279,0.000090
640000,16,0.393675,0.393610,0.000065
640000,16,0.432433,0.432368,0.000065
640000,16,0.430903,0.430840,0.000063
640000,16,0.400239,0.400160,0.000079
640000,16,0.396050,0.395983,0.000067
640000,16,0.394213,0.394146,0.000067
640000,16,0.395667,0.395601,0.000066
640000,16,0.403114,0.403046,0.000068
640000,16,0.463564,0.463498,0.000066
640000,16,0.389022,0.388949,0.000073
640000,16,0.411340,0.411274,0.000066
640000,16,0.458746,0.458675,0.000071
640000,16,0.400693,0.400622,0.000071
